series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT		0.0047225682422	0.0045613951702	0.087891252856	0.105809030022	1.2241480837247	2.1071236454641	1.9	1.84	3.55	4	5	5.4545454545455	5.9	7	8.26	6.3229090909091	2015	8.26	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	0.1140973465521	0.325798377068	0.3900812734333	0.9719004151959	2.4203877977601	6.0438908640481	9.6099913157712	15.0361154084109	23.86	41.2	45	49	54.6559590399494	57.2	60.1	63.252932696931	56.8417783473761	2015	63.252932696931	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	0.4917056791416	0.6461140167038	1.5916412603583	2.1953597308614	4.6344750877654	5.8439420920126	7.3759849563489	9.451190625553	10.18	11.23	12.5	14	15.2280267564417	16.5	25	38.2	21.7856053512883	2015	38.2	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT	10.53883560922		11.2604687170103	13.546412876439	26.8379543894637	37.6057662174867	48.9368469989479	70.87	70.04	78.53	81	81	86.4344246167258	94	95.9	96.91	90.8488849233452	2015	96.91	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	0.1050455624623	0.1360138674299	0.2703767455951	0.3706820652257	0.4648146179859	1.1433668265595	1.5	1.7	1.9	2.3	2.8	3.1	6.5	8.9	10.2	12.4	8.22	2015	12.4	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	6.4822257370291	8.8992855145058	12.5	17.2286487816884	24.2665437161785	27	30	34	38	42	47	52	58	63.4	64	65.2	60.52	2015	65.2	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	0.1477575756233	0.3055646376156	4.9997136781296			8.0303753561645	11.9921773343674	14.54	17.08	27.4	46	50	54.2	73.000001372	75.0000156363396	77	65.8400034016679	2015	77	State Statistical Committee of the Republic of Azerbaijan
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	7.0386830862178	9.7808072853241	10.8821243775325	11.9136965509954	16.0366841054923	17.7205833696065	20.9272021035896	25.9466329403819	28.1126234799907	34	45	51	55.8	59.9	64.7	69.40092102179	60.160184204358	2015	69.40092102179	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	46.7561156116738	52.6892664310395				63	66	69.45	71.67	74.25	76	79.4876977139029	79	83.453497167	84	84.560519347399	82.1003428456604	2015	84.560519347399	Australian Bureau of Statistics
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT	33.7301329516915	39.1854501811114	36.56	42.7	54.28	58	63.6	69.37	72.87	73.45	75.17	78.7399930986888	80.0299939169903	80.6188	81	83.9263	80.8630174031358	2015	83.9263	Eurostat.
