series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CON_USD	47.1859083420212	48.9298581278408	67.6578850945724	66.9851404215722	66.8191433987877	66.4654858280846	66.4545476096263	67.6069570589852	67.4944978353854	69.2972404345585	70.0146790988279	70.0343771133681	72.838801939112	71.48066585187	67.6182265209277	67.3676013776064	67.6281352876069	69.3866861954246	2016	67.6281352876069	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CON_USD	73.6278006640049	79.5458926158728	82.0751199124463	103.079255609078	122.429622058163	149.437764634809	179.598070075434	209.967311014269	215.143429909307	224.138221589509	249.145654666298	281.69023142678	267.829670801936	257.709651400609	265.496186596698	273.102293315897	283.542240520715	269.536008527171	2016	283.542240520715	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CON_USD																						
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CON_USD	147.575001528044	151.803509017952	157.872731736568	158.480820830794	160.203708631671	160.955968198401	163.242725366265	165.137344375197	172.238956993523	185.14735545858	186.741766096659	189.771866168632	193.94744307919	220.509000059838	262.14502063911	263.727633372618	264.979430331231	241.061705496397	2016	264.979430331231	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CON_USD																						
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CON_USD	1578.40724475909	1570.05829423049	1585.55580328238	1645.11063744434	1725.95626332384	1671.73948389003	1698.17970206182	1663.92712952709	1550.51342739675	1405.42755340805	1431.2347019036	1374.13285960693	1317.42207373039	1304.00761995731	1449.57432061111			1357.0013380996	2014	1449.57432061111	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CON_USD	101.611367575208	105.898672481048	111.198652600273	109.899114124374	123.640987540112	126.692139236536	130.412353833707	128.586830982865	131.673776679874	136.26891824081	157.026704581923	167.293495493817	179.209863141569	195.295664631344	200.588776715276	206.37729996842	211.023770972799	198.499075085882	2016	211.023770972799	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CON_USD	237.011401581496	237.452442004761	246.72870336124	247.672280974983	256.990830906287	266.758141827651	296.664005654929	320.193973127007	287.719188049209	314.74929235226	283.956419818188	288.757629095199	242.256734329565	281.974968828138	288.818175137514	288.288006926746	287.401406758826	277.747858396158	2016	287.401406758826	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CON_USD	158.172363447865	163.068579446067	174.622222860931	196.92871989083	215.145500326943	247.360323203476	266.577341711404	290.398541130176	307.296038895384	265.286939529344	279.544340136747	296.053763679744	307.304976981731	309.27387650387	317.536230686083	307.255278774751	289.864794936832	306.247031576653	2016	289.864794936832	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
2017.Q2.G.01	NV_IND_MANFPC	Manufacturing value added per capita at constant 2010 United States dollars	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CON_USD	1259.72693077422	1154.0902244864	1016.3223449867	1165.67802560594	1291.14848214421	1396.03758323021	1516.37199532341	1621.98740612405	1657.09858585018	1614.51648891932	1779.87334532101	1963.68625757449	1912.26563849619	1897.21521690192	1853.68274346786	1859.21195215994	1765.59321437452	1857.59375308009	2016	1765.59321437452	UNIDO MVA 2016 Database. Available at https://stat.unido.org	M
