series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP							1			1	1	1	1					1	2012	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	0.55451								1.08868	1.03342	1.2264								2010	1.2264	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP			1			1.01683	1.04304	1.07744	0.98993	1.02942									2009	1.02942	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP													1.03147	1.04101	1.04437	1.03429		1.037785	2015	1.03429	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	1.5907	1.55742	1.88498	1.32442	1.22477			1.28808	1.42781	1.3331	1.21482	1.2853	1.43817	1.43898				1.438575	2013	1.43898	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP		1	1	1	1	1	1					1	1	0.88189	1			0.96063	2014	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP						1.0227	0.99963										1	1	2016	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	0.9968	1.35608		1.11602	2.23354		1.32662	1.10378	1.37768	1.36123	1.32829		1.42294	1.47872	1.39917	1.4236		1.4311075	2015	1.4236	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_LSC_GPITCH	Gender parity index of teachers in lower secondary education who are trained	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
