series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2009	2010	2011	2012	2013	2014	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	62.67579								2009	62.67579	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				100				100	2012	100	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	100								2009	100	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				65.57377				65.57377	2012	65.57377	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				100				100	2012	100	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		77.519171							2010	77.519171	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP		100							2010	100	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	100								2009	100	UNESCO Institute for Statistics Education Data Release May 2017	E
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				15.24049				15.24049	2012	15.24049	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												
2017.Q2.G.01	SE_SEC_CMPTR	Proportion of schools with access to computers for pedagogical purposes, secondary combined level	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					33.027965			33.027965	2013	33.027965	UNESCO Institute for Statistics Education Data Release May 2017	E
