series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER							249	249	242	242	249	249	249	249	249	249	249	249	249	2017	249	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER	155	155	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	2017	140	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER	380	380	380	389	389	389	389	389	389	389	389	389	389	462	462	462	462	462	462	2017	462	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	2017	28	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	2017	220	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	18	18	18	18.4	2017	18	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER	125	125	124	124	124	124	125	124	123	123	123	125	125	125	122	122	124	125	123.6	2017	125	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	257	257	257	257	257	255	257	257	255	255	257	257	257	257	257	257	257	257	257	2017	257	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER	147	148	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2017	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	2017	183	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER	40	40	40	40	40	40	40	40	41	41	41	41	41	38	38	38	38	38	38	2017	38	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER				40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	2017	40	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER	330	330	330	300	300	300	345			300	345	345	350	350	297	350	350	350	339.4	2017	350	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	2017	131	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	NUMBER	28	28	28	28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2017	30	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	NUMBER	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2017	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER	150	150	150	150	150	150	150	150	150	47	47	47	47	47	47	47	47	47	47	2017	47	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	2017	130	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	2017	42	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER	47	47	47	47	47	63	63	63	63	63	63	63	63	63	63	63	63	63	63	2017	63	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	2017	513	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER	29	29	29	29	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	2017	32	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER	49	49	49	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	2017	50	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
