series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	FEMALE	NUMBER							68	68	67	67	68	69	69	69	69	69	69	69	69	2017	69	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	FEMALE	NUMBER	8	8	8	8	8	9	10	10	10	10	23	23	22	22	28	29	29	32	28	2017	32	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	FEMALE	NUMBER	12	13	13	24	24	24	24	24	30	30	30	30	31	146	146	146	146	146	146	2017	146	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	FEMALE	NUMBER	2	2	4	4	4	4	8	8	7	7	10	10	14	14	14	14	11	9	12.4	2017	9	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	FEMALE	NUMBER	34	34	34	34	34	33	33	33	33	82	85	85	84	75	81	81	81	84	80.4	2017	84	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	FEMALE	NUMBER	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2017	2	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	FEMALE	NUMBER	13	13	13	13	13	13	15	14	14	14	14	20	20	20	19	19	21	21	20	2017	21	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	FEMALE	NUMBER	72	68	79	79	79	86	93	90	102	102	99	99	96	96	94	93	92	100	95	2017	100	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	FEMALE	NUMBER	33	34	38	38	38	37	37	37	40	40	41	37	37	37	39	40	40	43	39.8	2017	43	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	FEMALE	NUMBER	49	49	49	62	62	62	62	59	60	50	51	51	51	51	59	56	56	56	55.6	2017	56	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	FEMALE	NUMBER	6	6	6	8	8	8	8	8	5	5	5	5	5	5	5	5	5	5	5	2017	5	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	FEMALE	NUMBER				0	0	0	0	1	1	1	1	1	4	4	4	3	3	3	3.4	2017	3	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	FEMALE	NUMBER	30	6	6	6	6	6	51			19	64	64	69	69	19	70	70	71	59.8	2017	71	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	FEMALE	NUMBER	4	4	4	4	6	7	7	7	12	11	12	12	11	14	14	14	14	13	13.8	2017	13	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	FEMALE	NUMBER	3	3	3	3	4	4	4	4	3	3	3	3	3	3	5	5	5	5	4.6	2017	5	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	FEMALE	NUMBER	35	35	35	35	53	52	52	52	53	53	57	59	57	57	62	59	59	57	58.8	2017	57	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	FEMALE	NUMBER	3	14	14	14	14	14	14	4	4	4	4	4	4	4	4	4	4	4	4	2017	4	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	FEMALE	NUMBER	15	15	15	24	24	25	22	22	22	22	29	33	33	33	33	69	69	69	54.6	2017	69	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	FEMALE	NUMBER	3	3	3	7	7	7	7	6	5	5	8	7	9	9	9	9	9	9	9	2017	9	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	FEMALE	NUMBER	8	8	8	8	8	7	7	7	7	7	5	5	5	5	6	6	6	6	5.8	2017	6	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	FEMALE	NUMBER	29	29	35	44	44	44	44	45	46	46	45	44	44	44	44	46	51	55	48	2017	55	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	FEMALE	NUMBER	2	2	2	2	1	2	2	2	1	0	0	0	0	1	1	1	1	3	1.4	2017	3	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
