series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2001	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	4	66.02688198	33.83160199	AFG	Afghanistan	1	<5Y	ANNUAL	PERCENT												42.3		42.3	2015	42.3	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	8	20.06660928	41.13897007	ALB	Albania	1	<5Y	ANNUAL	PERCENT						98.6									2009	98.6	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	10	21.47585697	-80.40897662	ATA	Antarctica	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	12	2.678164227	28.15940032	DZA	Algeria	1	<5Y	ANNUAL	PERCENT										99.6				99.6	2013	99.6	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	20	1.576257417	42.54548611	AND	Andorra	1	<5Y	ANNUAL	PERCENT									100					100	2012	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	24	17.57817062	-12.33724746	AGO	Angola	1	<5Y	ANNUAL	PERCENT	35.6														2001	35.6	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<5Y	ANNUAL	PERCENT			93.6												2006	93.6	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	32	-65.14563274	-35.19446255	ARG	Argentina	1	<5Y	ANNUAL	PERCENT									99.5					99.5	2012	99.5	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	36	134.3499412	-25.57717202	AUS	Australia	1	<5Y	ANNUAL	PERCENT										100				100	2013	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	40	14.14172472	47.58704857	AUT	Austria	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	44	-78.05111663	24.69546597	BHS	Bahamas	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	48	50.5490754	26.04407747	BHR	Bahrain	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	50	89.17660788	22.86961622	BGD	Bangladesh	1	<5Y	ANNUAL	PERCENT											20.2			20.2	2014	20.2	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	51	44.93839317	40.29499741	ARM	Armenia	1	<5Y	ANNUAL	PERCENT							99.6								2010	99.6	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	52	-59.5346489	13.13648273	BRB	Barbados	1	<5Y	ANNUAL	PERCENT									98.7					98.7	2012	98.7	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	56	4.660976456	50.64104975	BEL	Belgium	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	60	-64.78155012	32.27881922	BMU	Bermuda	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	64	90.45098484	27.39598568	BTN	Bhutan	1	<5Y	ANNUAL	PERCENT							99.9								2010	99.9	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	<5Y	ANNUAL	PERCENT					75.8										2008	75.8	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	<5Y	ANNUAL	PERCENT			99.5												2006	99.5	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	72	23.81380223	-22.18810073	BWA	Botswana	1	<5Y	ANNUAL	PERCENT											83.2			83.2	2014	83.2	Vital statistics report	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	76	-53.08432878	-10.77668561	BRA	Brazil	1	<5Y	ANNUAL	PERCENT											95.9			95.9	2014	95.9	IBGE	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	84	-88.70199554	17.19965901	BLZ	Belize	1	<5Y	ANNUAL	PERCENT												95.7		95.7	2015	95.7	MICS Key Findings Report	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	100	25.23763153	42.75731323	BGR	Bulgaria	1	<5Y	ANNUAL	PERCENT									100					100	2012	100	Vital registration data	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	104	96.51752295	21.19332882	MMR	Myanmar	1	<5Y	ANNUAL	PERCENT							72.4								2010	72.4	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	108	29.89080992	-3.366387428	BDI	Burundi	1	<5Y	ANNUAL	PERCENT							75.2								2010	75.2	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	112	28.04940161	53.54193075	BLR	Belarus	1	<5Y	ANNUAL	PERCENT									100					100	2012	100	Vital registration data	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	116	104.922836	12.71163737	KHM	Cambodia	1	<5Y	ANNUAL	PERCENT											73.3			73.3	2014	73.3	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	120	12.7419827	5.692387031	CMR	Cameroon	1	<5Y	ANNUAL	PERCENT											66.1			66.1	2014	66.1	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	124	-101.6575058	57.72360191	CAN	Canada	1	<5Y	ANNUAL	PERCENT								100							2011	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	<5Y	ANNUAL	PERCENT							91.4								2010	91.4	Census	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	140	20.93559492	7.003720791	CAF	Central African Republic	1	<5Y	ANNUAL	PERCENT							61								2010	61	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	144	80.70489654	7.614693343	LKA	Sri Lanka	1	<5Y	ANNUAL	PERCENT				97.2											2007	97.2	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	148	18.66618401	15.36279341	TCD	Chad	1	<5Y	ANNUAL	PERCENT												12		12	2015	12	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	152	-71.23029019	-35.2652885	CHL	Chile	1	<5Y	ANNUAL	PERCENT								99.4							2011	99.4	Estadísticas Vitales	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	156	104.1403375	32.30955217	CHN	China	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	162	105.6426067	-10.4882473	CXR	Christmas Island	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	170	-73.07446751	3.888209046	COL	Colombia	1	<5Y	ANNUAL	PERCENT							96.5								2010	96.5	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	174	43.34234565	-11.66121732	COM	Comoros	1	<5Y	ANNUAL	PERCENT									87.3					87.3	2012	87.3	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	175	45.14015057	-12.82217691	MYT	Mayotte	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	178	15.22052612	-0.840544119	COG	Congo	1	<5Y	ANNUAL	PERCENT												95.9		95.9	2015	95.9	MICS Key Findings Report	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	<5Y	ANNUAL	PERCENT											24.6			24.6	2014	24.6	DHS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	184	-159.7711391	-21.22696458	COK	Cook Islands	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	188	-84.19712782	9.970998683	CRI	Costa Rica	1	<5Y	ANNUAL	PERCENT										99.6				99.6	2013	99.6	INEC	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	191	17.95874553	45.45172212	HRV	Croatia	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	192	-79.54460144	22.10030366	CUB	Cuba	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	196	33.22285964	35.05659437	CYP	Cyprus	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	203	15.33151382	49.73913871	CZE	Czechia	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	204	2.339933594	9.65401646	BEN	Benin	1	<5Y	ANNUAL	PERCENT											84.8			84.8	2014	84.8	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	208	9.326571283	56.03829721	DNK	Denmark	1	<5Y	ANNUAL	PERCENT											100			100	2014	100	UNSD	E
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	212	-61.3493756	15.43391378	DMA	Dominica	1	<5Y	ANNUAL	PERCENT																		
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	<5Y	ANNUAL	PERCENT											88			88	2014	88	MICS	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	218	-78.37005241	-1.447785891	ECU	Ecuador	1	<5Y	ANNUAL	PERCENT									92.1					92.1	2012	92.1	ENSANUT	C
2017.Q2.G.01	SG_REG_BRTH	Proportion of births registered with a civil authority	222	-88.86862995	13.73603564	SLV	El Salvador	1	<5Y	ANNUAL	PERCENT											98.5			98.5	2014	98.5	ENS/MICS	C
