geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	66.02688198	33.83160199	2	AFG	Afghanistan	1	Float			G
8	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	20.06660928	41.13897007	6	ALB	Albania	1	Float			G
10	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	2.678164227	28.15940032	66	DZA	Algeria	0	Float			G
16	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	1.576257417	42.54548611	7	AND	Andorra	0	Float			G
24	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	17.57817062	-12.33724746	3	AGO	Angola	1	Float			G
28	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	0	Float			G
31	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-65.14563274	-35.19446255	10	ARG	Argentina					
36	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	134.3499412	-25.57717202	17	AUS	Australia	1	Float			G
40	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	14.14172472	47.58704857	18	AUT	Austria					
44	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-78.05111663	24.69546597	27	BHS	Bahamas	0	Float			G
48	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	50.5490754	26.04407747	26	BHR	Bahrain					
50	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	89.17660788	22.86961622	24	BGD	Bangladesh	1	Float			G
51	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	44.93839317	40.29499741	11	ARM	Armenia	1	Float			G
52	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-59.5346489	13.13648273	35	BRB	Barbados					
56	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	4.660976456	50.64104975	21	BEL	Belgium					
60	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	90.45098484	27.39598568	37	BTN	Bhutan	1	Float			G
68	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	0	Float			G
70	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	0	Float			G
72	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	23.81380223	-22.18810073	39	BWA	Botswana	1	Float			G
74	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-53.08432878	-10.77668561	34	BRA	Brazil					
84	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-88.70199554	17.19965901	31	BLZ	Belize	0	Float			G
86	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	160.1584117	-9.622391719	204	SLB	Solomon Islands	0	Float			G
92	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	-64.63294223	18.42256578	254	VGB	British Virgin Islands	0	Float			G
96	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	114.6288563	4.49736984	36	BRN	Brunei Darussalam					
100	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	25.23763153	42.75731323	25	BGR	Bulgaria					
104	2016	ANNUAL	NUMBER	1	2017.Q2.G.01	SG_STT_NSDSIMPL	Number of countries with national statistical plans that are under implementation	96.51752295	21.19332882	149	MMR	Myanmar	0	Float			G
