series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.378	0.5	0.645	0.861	2015	0.861	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	4	66.02688198	33.83160199	AFG	Afghanistan	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	0.35	0.465	0.553	0.699	2015	0.699	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	4	66.02688198	33.83160199	AFG	Afghanistan	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	0.728	0.965	1.198	1.56	2015	1.56	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	8	20.06660928	41.13897007	ALB	Albania	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.019	0.02	0.013	0.015	2015	0.015	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	8	20.06660928	41.13897007	ALB	Albania	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	0.039	0.038	0.024	0.023	2015	0.023	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	8	20.06660928	41.13897007	ALB	Albania	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	0.058	0.058	0.038	0.037	2015	0.037	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	E
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	10	21.47585697	-80.40897662	ATA	Antarctica	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	10	21.47585697	-80.40897662	ATA	Antarctica	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	10	21.47585697	-80.40897662	ATA	Antarctica	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	12	2.678164227	28.15940032	DZA	Algeria	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	1.403	1.529	1.45	1.572	2015	1.572	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	12	2.678164227	28.15940032	DZA	Algeria	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	1.744	1.907	2.111	2.512	2015	2.512	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	12	2.678164227	28.15940032	DZA	Algeria	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	3.147	3.436	3.562	4.084	2015	4.084	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	16	-170.7187269	-14.30587306	ASM	American Samoa	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	16	-170.7187269	-14.30587306	ASM	American Samoa	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	16	-170.7187269	-14.30587306	ASM	American Samoa	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	20	1.576257417	42.54548611	AND	Andorra	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	20	1.576257417	42.54548611	AND	Andorra	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	20	1.576257417	42.54548611	AND	Andorra	3	30-70	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	24	17.57817062	-12.33724746	AGO	Angola	1	30-70	ANNUAL	ALLAREA	FEMALE	NUMBER	MP	0.648	0.838	1.122	1.481	2015	1.481	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
2017.Q2.G.01	SH_DTH_DIABTS	Number of deaths attributed to diabetes	24	17.57817062	-12.33724746	AGO	Angola	2	30-70	ANNUAL	ALLAREA	MALE	NUMBER	MP	0.855	1.087	1.378	1.806	2015	1.806	WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
