geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	1	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	35.130500793457	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	1	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	34.490537643433	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	1	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	32.859891653061	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	MALE	PROBABILITY	MP	1	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	31.722062826157	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	2	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	34.155344963074	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	2	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	33.648484945297	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	2	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	32.184338569641	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2015	30-70	ANNUAL	ALLAREA	BOTHSEX	PROBABILITY	MP	2	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	31.042075157166	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2000	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP	3	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	33.236294984818	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2005	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP	3	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	32.848781347275	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
4	2010	30-70	ANNUAL	ALLAREA	FEMALE	PROBABILITY	MP	3	2017.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, total and by sex (probability)	66.02688198	33.83160199	2	AFG	Afghanistan	31.590414047241	Float		WHO methods and data sources for country-level causes of death 2000-2015. http://www.who.int/healthinfo/global_burden_disease/GlobalCOD_method_2000_2015.pdf	M
