series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	BOTHSEX	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	15+	ANNUAL	MALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15+	ANNUAL	FEMALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	BOTHSEX	PERCENT	29.1	2015	29.1	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	8	20.06660928	41.13897007	ALB	Albania	2	15+	ANNUAL	MALE	PERCENT	51.7	2015	51.7	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	8	20.06660928	41.13897007	ALB	Albania	3	15+	ANNUAL	FEMALE	PERCENT	7.3	2015	7.3	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	BOTHSEX	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	15+	ANNUAL	MALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	15+	ANNUAL	FEMALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	BOTHSEX	PERCENT	15.6	2015	15.6	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	2	15+	ANNUAL	MALE	PERCENT	30.2	2015	30.2	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	3	15+	ANNUAL	FEMALE	PERCENT	0.8	2015	0.8	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	ANNUAL	BOTHSEX	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	15+	ANNUAL	MALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	15+	ANNUAL	FEMALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	20	1.576257417	42.54548611	AND	Andorra	1	15+	ANNUAL	BOTHSEX	PERCENT	33.7	2015	33.7	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	20	1.576257417	42.54548611	AND	Andorra	2	15+	ANNUAL	MALE	PERCENT	38.2	2015	38.2	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	20	1.576257417	42.54548611	AND	Andorra	3	15+	ANNUAL	FEMALE	PERCENT	29	2015	29	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	ANNUAL	BOTHSEX	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	24	17.57817062	-12.33724746	AGO	Angola	2	15+	ANNUAL	MALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	24	17.57817062	-12.33724746	AGO	Angola	3	15+	ANNUAL	FEMALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	ANNUAL	BOTHSEX	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	15+	ANNUAL	MALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	15+	ANNUAL	FEMALE	PERCENT					
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	ANNUAL	BOTHSEX	PERCENT	21.3	2015	21.3	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	15+	ANNUAL	MALE	PERCENT	43.5	2015	43.5	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	15+	ANNUAL	FEMALE	PERCENT	0.3	2015	0.3	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	ANNUAL	BOTHSEX	PERCENT	22.5	2015	22.5	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	15+	ANNUAL	MALE	PERCENT	28.4	2015	28.4	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
2017.Q2.G.01	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older, total and by sex (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	15+	ANNUAL	FEMALE	PERCENT	17	2015	17	World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
