series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	RURAL	PERCENT						29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	29.01854	2015	29.01854	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	ALLAREA	PERCENT						36.93204	37.05025	37.17123	37.29531	37.42216	37.55213	37.6852	37.82138	37.96068	38.10274	38.24825	37.96365	2015	38.24825	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	URBAN	PERCENT						63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	63.58285	2015	63.58285	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	RURAL	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	ALLAREA	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	URBAN	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	RURAL	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	ALLAREA	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	URBAN	PERCENT																					
2017.Q2.G.01	SH_SAN_HNDWSH	Proportion of population with basic handwashing facilities on premises	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	RURAL	PERCENT										73.06981	73.06981	73.06981	73.06981	73.06981	73.06981	73.06981	73.06981	2015	73.06981	WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)	E
