series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT		-1.3143				-1.3143	2012	-1.3143	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT				-0.4311		-0.4311	2014	-0.4311	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PERCENT		0.3934				0.3934	2012	0.3934	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT				1.642		1.642	2014	1.642	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT		0.4401				0.4401	2012	0.4401	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT		6.468				6.468	2012	6.468	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT				4.7846		4.7846	2014	4.7846	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT				4.0735		4.0735	2014	4.0735	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT										
