series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2002	2006	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	20	1.576257417	42.54548611	AND	Andorra	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	20	1.576257417	42.54548611	AND	Andorra	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	24	17.57817062	-12.33724746	AGO	Angola	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	24	17.57817062	-12.33724746	AGO	Angola	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	32	-65.14563274	-35.19446255	ARG	Argentina	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	32	-65.14563274	-35.19446255	ARG	Argentina	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	36	134.3499412	-25.57717202	AUS	Australia	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	36	134.3499412	-25.57717202	AUS	Australia	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP	17.09	18.8		2006	18.8	ILOSTAT - ES - Verdienststrukturerhebung	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	40	14.14172472	47.58704857	AUT	Austria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP	16.75	17.55		2006	17.55	ILOSTAT - ES - Verdienststrukturerhebung	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	40	14.14172472	47.58704857	AUT	Austria	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP	14	14.44		2006	14.44	ILOSTAT - ES - Verdienststrukturerhebung	C
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	44	-78.05111663	24.69546597	BHS	Bahamas	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	44	-78.05111663	24.69546597	BHS	Bahamas	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	48	50.5490754	26.04407747	BHR	Bahrain	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	48	50.5490754	26.04407747	BHR	Bahrain	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	50	89.17660788	22.86961622	BGD	Bangladesh	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	50	89.17660788	22.86961622	BGD	Bangladesh	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	51	44.93839317	40.29499741	ARM	Armenia	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	51	44.93839317	40.29499741	ARM	Armenia	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	52	-59.5346489	13.13648273	BRB	Barbados	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	52	-59.5346489	13.13648273	BRB	Barbados	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP	16.12	18.36		2006	18.36	ILOSTAT - ES - Structure of Earnings Survey	C
