series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	BOTHSEX	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	MALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	4	66.02688198	33.83160199	AFG	Afghanistan	3	ANNUAL	FEMALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	BOTHSEX	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	MALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	8	20.06660928	41.13897007	ALB	Albania	3	ANNUAL	FEMALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	BOTHSEX	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	MALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	10	21.47585697	-80.40897662	ATA	Antarctica	3	ANNUAL	FEMALE	PER_100000_EMP																						
2017.Q2.G.01	SL_EMP_FTLINJUR	Frequency rates of fatal occupational injuries among employees	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	BOTHSEX	PER_100000_EMP	27.28	23.24	20.88	19.03	17.59														2004	17.59	ILOSTAT - Insurance records	C
