series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	-8.06	-9.89	55.45	11.53	-4.04	6.13	2.65	11.09	1.3	17.95	5.09	1.62	8.95	-3.04	-3.75	-3.54	-1.88	-0.652	2016	-1.88	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	5.58	19.7	-5.66	5.81	7.02	7.17	5.9	8.09	8.63	5.84	5.33	3.46	1.8	4.71	5.43	1.68	2.03	3.13	2016	2.03	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	5.23	-1.43	1.18	1.75	-5.46	0.65	-3.78	3.18	-2.69	-1.49	0.86	0.9	2.32	-2.4	3.19	2.61	2.19	1.582	2016	2.19	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	-0.2	1.16	10.7	1.57	7.4	14.95	17.7	19.53	10.35	-1.46	-0.41	0.48	1.55	3.08	0.97	-0.72	-3.38	0.3	2016	-3.38	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	16.98	6.35	7	7.69	6.25	22.54	30.66	21.97	6.34	6.1	3.28	-1.52	0.04	3.54	0.26	-0.74	-2.93	0.034	2016	-2.93	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	-1.12	-3.43	-10.02	2.49	-1.71	5.14	4.62	6.37	2.02	-0.85	8.31	7.1	-0.73	0.98	-1.02	0.4	-3.04	-0.682	2016	-3.04	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
