series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	29.5	35.6	39.2	43.3	45.4	45.6	45	44	43.8	45.2	46.7	46.7	43.6	39.3	35.2	32.3	29.9	27.7	26	24.7	24.3	24.4	25.1	26	26.8	25.32	2014	26.8	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	7.7	7.4	7.1	7.2	7.7	8.4	8.9	9.2	9.1	8.7	8.4	8	7.6	7.2	7	6.8	6.4	6.1	5.6	5.1							2009	5.1	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	63.5	64.5	64.6	64.4	62.2	59.5	56.8	54.8	53.1	51.1	48.9	45.8	41.8	37.7	34.2	31.3	28.6	25.8	23.1	20.7	18.9	17.5	16.5	15.3	14.2	16.48	2014	14.2	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	23.6	23.6	23.6	23.6	25.4	27.4	27.9	28.5	26.5	22.5	17.1	12.8	9.4	6.7													2003	6.7	FAO. Statistics Division	E
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT																														
2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment, total (%)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT																														
