series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	4	66.02688198	33.83160199	AFG	Afghanistan	1	20-24	ANNUAL	FEMALE	PERCENT														8.8	8.8	2015	8.8	DHS 2015	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	8	20.06660928	41.13897007	ALB	Albania	1	20-24	ANNUAL	FEMALE	PERCENT							0.2									2008	0.2	DHS 2008-09	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	10	21.47585697	-80.40897662	ATA	Antarctica	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	12	2.678164227	28.15940032	DZA	Algeria	1	20-24	ANNUAL	FEMALE	PERCENT											0.4				0.4	2012	0.4	MICS 2012-13	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	16	-170.7187269	-14.30587306	ASM	American Samoa	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	20	1.576257417	42.54548611	AND	Andorra	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	24	17.57817062	-12.33724746	AGO	Angola	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	31	50.01064725	40.39229544	AZE	Azerbaijan	1	20-24	ANNUAL	FEMALE	PERCENT										1.9					1.9	2011	1.9	DHS 2011	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	32	-65.14563274	-35.19446255	ARG	Argentina	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	36	134.3499412	-25.57717202	AUS	Australia	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	40	14.14172472	47.58704857	AUT	Austria	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	44	-78.05111663	24.69546597	BHS	Bahamas	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	48	50.5490754	26.04407747	BHR	Bahrain	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	50	89.17660788	22.86961622	BGD	Bangladesh	1	20-24	ANNUAL	FEMALE	PERCENT													22.4		22.4	2014	22.4	DHS 2014	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	51	44.93839317	40.29499741	ARM	Armenia	1	20-24	ANNUAL	FEMALE	PERCENT									0							2010	0	DHS 2010	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	52	-59.5346489	13.13648273	BRB	Barbados	1	20-24	ANNUAL	FEMALE	PERCENT											0.7				0.7	2012	0.7	MICS 2012	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	56	4.660976456	50.64104975	BEL	Belgium	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	60	-64.78155012	32.27881922	BMU	Bermuda	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	64	90.45098484	27.39598568	BTN	Bhutan	1	20-24	ANNUAL	FEMALE	PERCENT									6.2							2010	6.2	MICS 2010	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	20-24	ANNUAL	FEMALE	PERCENT							3.2									2008	3.2	DHS 2008	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	20-24	ANNUAL	FEMALE	PERCENT										0.2					0.2	2011	0.2	MICS 2011-12	C
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	72	23.81380223	-22.18810073	BWA	Botswana	1	20-24	ANNUAL	FEMALE	PERCENT																			
2017.Q2.G.01	SP_DYN_MRBF15	Proportion of women aged 20-24 years who were married by age 15	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	20-24	ANNUAL	FEMALE	PERCENT																			
