series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	2626785.849896	2115707.36993	2871936.65177	6136031.075261	13600652.545725	13164768.023826	2339358.552537	2402664.744989	2288530.948117	7593802.311302	15967770.613387	5379691.137086	4698856.164011	1011418.461761	6930307.7375094	2013	1011418.461761	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD									10938727.11549	28562.120265	11113407.950269		182253.529312	171372.721591	2873899.08035925	2013	171372.721591	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	506907261.36099	1138335601.86982	1330034748.83862	46491465.661067	1108642666.40324	1006379897.37853	473707315.263135	484872030.403802	123047357.360962	397243463.510325					397243463.510325	2009	397243463.510325	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD																			
